City,State,Geo.ID,Percent of GDP based on water intensive industries_2015,Percentage of workforce in Farming Fishing and Forestry 2015,Existence of drought management plans_2015,Existence of water management plan_2015,Baseline water stress_2014,Readiness to accept adaptation investment_2015,Tax incentives for renewable energy_2015,Total number of federal public corruption convictions by district_2015,Civic engagement_2010,General innovation capabilities_2015,Estimated percent of adults who think global warming is already harming people in the US now or within 10 years_2014,Percent of population with less than 12th grade education_2015,Population density_2015,Water quality_2015,City debt_2010,Percent of population in floodzone_2015,Percent of buildings in floodzone_2015,Percent of cars in floodzone_2015,Percent of area that is impervious surface_2011,Number of acute care hospital beds available per 1000 residents_2015,Percent of population that is 65 years old or older living alone_2015,Percent of population that is 5 years old or younger_2015,Percent of population with health insurance_2015,Percent of buildings built before 1999_2015,Percent of population residing in the mobile homes_2015,Percent of population spending over 50 percent of income on rent_2015,Percent of land covered by tree canopy_2011,Percent of houses with heating_2015,Percent of population with a disability_2015,Percent of population in poverty_2015,Percent of buildings built before 1979_2015,Outdoor workers_2015,Percent of households without access to a vehicle_2015,Percent of population in 1ft sea level rise zone_2015,Percent of population in 3ft sea level rise zone_2015,Average economic impact of 1ft sea level rise_2015,Average economic impact of 3ft sea level rise_2015,,Latitutde,Longitude,County,Region, City Area_KM,2010 Population,2011 Population,2012 Population,2013 Population,2014 Population,2015 Population,Median Income
Abilene,TX,1600000US4801000,17.14891186,0.243116522,Yes,No,3.368071252,19,0,48,0.496519072,5.21E-05,39,16.5,419.7296486,8,759.37,31.28,35.77,37.55751557,16.4067867,6.537070672,10.2460565,7.3,82.4,88.57,3.3,23.5,15.91539888,0.998,15.7,14.378483,63.4,12.96,5.6,#N/A,#N/A,,,,32.4487,-99.7331,Taylor,South,291.2017305,116637,117566,118484,119721,120776,122226,43189
Akron,OH,1600000US3901000,16.75818588,0.19279167,No,No,3.376584958,18,1,18,0.722946216,0.000586882,40,13.7,1239.715136,2,3022.84,7.06,6.91,8.047370489,36.64741804,10.245602,11.555375,6.7,86.7,95.61,0.3,28.2,26.51739448,0.996,15.2,27.1067349,85.7,11.74,15.2,#N/A,#N/A,,,,41.0814,-81.519,Summit,Ohio Valley ,159.9794939,202814,201111,199955,199038,198492,198329,34512
Albuquerque,NM,1600000US3502000,5.659316195,0.237721877,Yes,Yes,5,20,3,12,0.643954866,0.000195862,48,11,1139.837021,1,1660.55,5.44,5.35,5.295091253,26.8604716,3.172136985,10.6362957,6.6,86,81.37,3.8,26.2,4.861575888,0.998,12.9,15.4089636,50.6,10.21,7.4,#N/A,#N/A,,,,35.0853,-106.6056,Bernalillo,Southwest,487.8697478,531403,539000,545083,549812,553576,556092,47030
Alexandria,VA,1600000US5101000,2.402034856,0.066972725,No,Yes,2.645669654,21,1,40,0.686520855,0.000180826,51,8.5,3819.963313,0,2217.47,11.09,12.38,11.3478412,44.93352015,2.129725748,7.6242169,7.5,85.7,87.71,0.1,17.5,21.72304223,0.995,6.2,4.8684938,66.9,7.58,9.3,6.319525835,8.441214881,0.051605461,0.067121138,,38.8048,-77.0469,Arlington,Southeast,39.08807173,133647,136968,140337,143684,146422,149315,89134
Allentown,PA,1600000US4202000,15.05085479,0.271557402,No,No,3.145631481,15,0,27,0.66622699,0.000493334,42,22.7,2581.11084,3,1165.14,12.23,11.87,29.31780328,43.78150483,1.802768717,9.8656774,7.6,83.2,94.72,0.3,32.7,19.01402013,0.996,18.5,28.3847347,85.1,19.98,19.6,#N/A,#N/A,,,,40.6084,-75.4902,Lehigh,Northeast,46.20529973,116398,117386,117942,118285,118793,119261,36930
Amarillo,TX,1600000US4803000,18.32765356,0.289062911,No,No,2.810262902,20,0,48,0.506643609,6.54E-05,42,16.6,755.0810275,9,407.08,6.78,5.98,10.01944343,25.78847984,5.311058091,9.0786288,8,80.7,85.85,4.3,21.7,4.964627916,0.998,11.5,13.8158863,65.2,13.37,5.9,#N/A,#N/A,,,,35.222,-101.8313,Potter,South,260.3310014,187225,189132,191118,193153,194930,196571,47735
Anaheim,CA,1600000US0602000,10.45625624,0.342928401,Yes,Yes,5,0,0,53,0.391711678,0.000914935,45,24.2,2633.295191,0,4029.31,2.7,2.87,1.581622428,52.14426983,2.584076533,6.9970904,7.2,80.7,91.88,3.4,31.7,5.127450176,0.93,8.2,12.1310324,70,15.98,6.9,#N/A,#N/A,,,,33.8366,-117.9143,Orange,West,131.2340527,333039,335057,337471,340081,342973,345578,60752
Anchorage,AK,1600000US0203000,13.4990996,0.261888353,No,Yes,2.980887134,15,0,4,0.412390545,6.69E-05,43,7,56.59235277,12,4953.66,15.32,15.35,20.76322967,23.14147543,2.564299732,5.8882814,7.5,84.5,85.3,4.7,20.1,19.15,0.996,10.1,11.0092703,48.9,11.35,5.8,#N/A,#N/A,,,,61.2181,-149.9003,Anchorage Municipality,Alaska Region ,5285.290068,284267,287390,291470,295237,298178,299107,78326
Ann Arbor,MI,1600000US2603000,12.30907034,0.07027166,No,Yes,0,20,3,4,0.796084679,0.002216938,46,3.6,1575.409387,1,1152.67,5.95,5.72,5.586496931,32.97535812,9.54438267,9.7818945,4.3,94.9,91.82,0.4,30.5,29.51664123,0.992,7,7.895462,70,4.17,12.6,#N/A,#N/A,,,,42.2808,-83.743,Washtenaw,Upper Midwest,73.75479728,115204,114783,114725,115331,115985,116194,55990
Antioch,CA,1600000US0602252,10.49677557,0.307618986,No,Yes,4.478620174,0,0,12,0.521462168,0.000947022,50,13.1,1442.354699,0,793.98,7.9,9.37,7.884949169,32.69403921,2.744160519,5.996797,5.8,89.3,83.57,1.2,33.1,5.666949527,0.995,14.5,13.3756451,43.1,13.57,6.8,4.308797127,4.53577176,0.000109984,0.00013748,,38.0049,-121.8058,Contra Costa,West,74.53159758,99717,101118,102575,104035,105630,107501,64329
