City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,Historical Average Cost of Heat Event,Probability of Heat Event in 2040
Abilene,TX,1600000US4801000,0.322690587,0.574484609,0.070896565,0.588600341,0.439631122,0.314171634,0.120898975,0.22060892,0.601007007,0,0.062842
Akron,OH,1600000US3901000,0.398229027,0.49308046,0.303377594,0.736973573,0.750812654,0.507761981,0.514565021,0.514348213,0.494372709,0,0.15847
Albuquerque,NM,1600000US3502000,0.435242011,0.599751428,0.270732593,0.489957604,0.290454748,0.631971634,0.317515164,0.795842931,0.782556807,1,0.10109
Alexandria,VA,1600000US5101000,0.687453818,0.426660041,0.948247596,0.272740691,0.419420609,0.523200248,0.362578497,0.609320849,0.597701399,0,0.065574
Allentown,PA,1600000US4202000,0.758587212,0.778669381,0.738505043,0.877971197,0.320632434,0.393284809,0.425955125,0.245750635,0.508148668,0,0.10109
Amarillo,TX,1600000US4803000,0.392892358,0.6308027,0.154982015,0.515479544,0.253874143,0.364131608,0.1332197,0.323916935,0.635258189,0,0.062842
Anaheim,CA,1600000US0602000,0.718288804,0.684463231,0.752114378,0.522898901,0.15397244,0.238532903,0.290318082,0.366885437,0.05839519,0,0.035519
Anchorage,AK,1600000US0203000,0.234428797,0.468857594,0,0.312535913,0.374820725,0.365687718,0.066165944,0.763855378,0.267041833,0,
Ann Arbor,MI,1600000US2603000,0.321737351,0.225877492,0.41759721,0.336419385,0.8846644,0.846281523,0.889023387,0.82855367,0.821267512,2,0.1776
Antioch,CA,1600000US0602252,0.46227684,0.552799256,0.371754425,0.461484466,0.355885954,0.453829954,0.390132813,0.680222435,0.291134615,0,0.032787
Arlington,TX,1600000US4804000,0.463824441,0.546398619,0.381250263,0.360806344,0.268009107,0.417087415,0.177955031,0.472811186,0.600496029,8,0.051913
Arvada,CO,1600000US0803455,0.392825388,0.489220863,0.296429914,0.330968116,0.35252639,0.577774278,0.693215072,0.750923368,0.289184393,0,0.12568
Atlanta,GA,1600000US1304000,0.352375929,0.382409436,0.322342422,0.429427779,0.664608907,0.551071731,0.240164098,0.809638532,0.603412564,0,0.095628
