City,State,Geo.ID,Flood Instances,Flood Injuries Direct,Flood Injuries Indirect,Total Flood Injuries,Flood Deaths Direct,Flood Deaths Indirect,Total Flood Deaths0,Flood Damage,Heat Instances,Heat Injuries Direct,Heat Injuries Indirect,Total Heat Injuries,Heat Deaths Direct,Heat Deaths Indirect,Total Heat Deaths,Heat Damage,Cold Instances,Cold Injuries Direct,Cold Injuries Indirect,Total Cold Injuries,Cold Deaths Direct,Cold Deaths Indirect,Total Cold Deaths,Cold Damage,Coastal Flood Instances,Coastal Flood Injuries Direct,Coastal Flood Injuries Indirect,Total Coastal Flood Injuries,Coastal Flood Deaths Direct,Coastal Flood Deaths Indirect,Total Coastal Flood Deaths,Coastal Flood Damage
Abilene,TX,1600000US4801000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron,OH,1600000US3901000,6,0,0,0,1,0,1,6343523,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,22269,0,0,0,0,0,0,0,0
Albuquerque,NM,1600000US3502000,34,2,0,2,2,0,2,1832453,3,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,VA,1600000US5101000,5,0,0,0,0,0,0,50000,20,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Allentown,PA,1600000US4202000,8,0,0,0,0,0,0,100000,16,3,0,3,2,0,2,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amarillo,TX,1600000US4803000,60,0,0,0,0,0,0,453322,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaheim,CA,1600000US0602000,4,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage,AK,1600000US0203000,3,0,0,0,0,0,0,3590000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ann Arbor,MI,1600000US2603000,1,0,0,0,0,0,0,0,5,11,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioch,CA,1600000US0602252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,TX,1600000US4804000,8,0,0,0,0,0,0,87000,5,39,0,39,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arvada,CO,1600000US0803455,1,0,0,0,0,0,0,2176071,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlanta,GA,1600000US1304000,19,0,0,0,0,0,0,1005342,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora,CO,1600000US0804000,8,0,0,0,0,0,0,4826242,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora,IL,1600000US1703012,7,0,0,0,0,0,0,4829774,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin,TX,1600000US4805000,80,0,0,0,10,0,10,111904886,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakersfield,CA,1600000US0603526,15,0,0,0,0,0,0,10435130,4,0,1,1,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore,MD,1600000US2404000,61,0,0,0,0,0,0,10000,30,0,1,1,10,1,11,0,10,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10000
Baton Rouge,LA,1600000US2205000,8,0,0,0,3,0,3,261175242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayamon,PR,1600000US7206593,17,0,0,0,0,0,0,24999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Beaumont,TX,1600000US4807000,19,0,0,0,0,0,0,129599,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44879,4,0,0,0,0,0,0,0
Bellevue,WA,1600000US5305210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkeley,CA,1600000US0606000,2,0,0,0,0,0,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billings,MT,1600000US3006550,4,0,0,0,0,0,0,1976671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Birmingham,AL,1600000US0107000,21,0,0,0,0,0,0,24400,6,0,0,0,1,0,1,13223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boise City,ID,1600000US1608830,4,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston ,MA,1600000US2507000,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2176012
Bridgeport,CT,1600000US0908000,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Brownsville,TX,1600000US4810768,24,0,0,0,0,0,0,1851154,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,849901,0,0,0,0,0,0,0,0
Buffalo,NY,1600000US3611000,4,0,0,0,0,0,0,22396,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burbank,CA,1600000US0608954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burlington,VT,1600000US5010675,7,0,0,0,0,0,0,383732,2,0,0,0,0,0,0,9346,4,0,0,0,0,0,0,10281,3,0,0,0,0,0,0,186919
Cambridge,MA,1600000US2511000,3,0,0,0,0,0,0,6072386,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Coral,FL,1600000US1210275,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlsbad,CA,1600000US0611194,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Carolina,PR,1600000US7214290,35,0,0,0,1,0,1,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Carrollton,TX,1600000US4813024,7,0,0,0,0,0,0,721948,13,19,0,19,1,0,1,0,3,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0
Cedar Rapids,IA,1600000US1912000,20,1,0,1,1,0,1,415213,2,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Centennial,CO,1600000US0812815,4,0,0,0,0,0,0,29019,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandler,AZ,1600000US0412000,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3276234,0,0,0,0,0,0,0,0
Charleston,SC,1600000US4513330,76,0,0,0,0,0,0,7647152,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0
Charleston,WV,1600000US5414600,10,0,0,0,0,0,0,7792943,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,310753,0,0,0,0,0,0,0,0
Charlotte,NC,1600000US3712000,39,0,0,0,0,0,0,2539329,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattanooga,TN,1600000US4714000,15,0,0,0,0,0,0,91117,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Chesapeake,VA,1600000US5116000,27,0,0,0,0,0,0,21525000,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,285000
Cheyenne,WY,1600000US5613900,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,IL,1600000US1714000,33,0,0,0,1,0,1,107084187,15,0,8,8,29,1,30,184829,51,0,0,0,45,0,45,0,1,0,0,0,0,0,0,300000
Chula Vista,CA,1600000US0613392,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Cincinnati,OH,1600000US3915000,29,0,0,0,0,0,0,2003472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
