City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,SLR in 2040,Projected Cost 1ft SLR
Abilene,TX,1600000US4801000,,0.574713907,,0.47873874,0.329310925,0.314171634,0.120898975,0.22060892,0.601007007,,
Akron,OH,1600000US3901000,,0.410390183,,0.6038735,0.783093134,0.507761981,0.514565021,0.514348213,0.494372709,,
Albuquerque,NM,1600000US3502000,,0.454036162,,0.495268064,0.58719574,0.631971634,0.317515164,0.795842931,0.782556807,,
Alexandria,VA,1600000US5101000,0.427458577,0.426807151,0.428110003,0.410567515,0.556953212,0.523200248,0.362578497,0.609320849,0.597701399,1.21,40945600
Allentown,PA,1600000US4202000,,0.683385076,,0.700654788,0.333884636,0.393284809,0.425955125,0.245750635,0.508148668,,
Amarillo,TX,1600000US4803000,,0.597458237,,0.495511053,0.300594579,0.364131608,0.1332197,0.323916935,0.635258189,,
Anaheim,CA,1600000US0602000,,0.586865118,,0.632330182,0.458599947,0.238532903,0.290318082,0.366885437,0.05839519,,
Anchorage,AK,1600000US0203000,,0.548469781,,0.402007137,0.305067575,0.365687718,0.066165944,0.763855378,0.267041833,,
Ann Arbor,MI,1600000US2603000,,0.288871528,,0.47968539,0.901942333,0.846281523,0.889023387,0.82855367,0.821267512,,
Antioch,CA,1600000US0602252,0.305975523,0.360277174,0.251673873,0.377009383,0.656455036,0.453829954,0.390132813,0.680222435,0.291134615,0.69,1500000
Arlington,TX,1600000US4804000,,0.58424653,,0.379993858,0.211500798,0.417087415,0.177955031,0.472811186,0.600496029,,
Arvada,CO,1600000US0803455,,0.422658266,,0.31823675,0.472920219,0.577774278,0.693215072,0.750923368,0.289184393,,
Atlanta,GA,1600000US1304000,,0.384630734,,0.397228025,0.627966557,0.551071731,0.240164098,0.809638532,0.603412564,,
Aurora (CO),CO,1600000US0804000,,0.441206938,,0.387585377,0.505171502,0.557648476,0.416584263,0.695948302,0.560412861,,
Aurora (IL),IL,1600000US1703012,,0.405638804,,0.354522004,0.543244395,0.333381273,0.307348364,0.387187194,0.305608261,,
Austin,TX,1600000US4805000,,0.38546399,,0.260117961,0.48918998,0.686704603,0.484006447,0.773961391,0.80214597,,
Bakersfield,CA,1600000US0603526,,0.390608488,,0.390299557,0.609082581,0.394198631,0.24077255,0.533542093,0.40828125,,
Baltimore,MD,1600000US2404000,0.218556816,0.422471738,0.014641895,0.667314286,0.822370811,0.498351686,0.165456718,0.716780381,0.612817959,0.69,38031100
Baton Rouge,LA,1600000US2205000,0.278941266,0.446680871,0.111201661,0.524258736,0.630896993,0.364241068,0.227587719,0.659260163,0.205875323,1.87,0
Bayamon,PR,1600000US7206593,0.215515179,0.426023968,0.00500639,0.382384308,0.530336371,0.429483628,0.335648513,0.318900746,0.633901626,0.89,572600
Beaumont,TX,1600000US4807000,0.695786368,0.577428042,0.814144695,0.513516177,0.358660093,0.450047748,0.223412138,0.582689989,0.544041116,1.41,16662200
Bellevue,WA,1600000US5305210,0.170668053,0.29556139,0.045774716,0.272510807,0.681388027,0.745513261,0.772656072,0.87214815,0.591735559,0.75,38539000
Berkeley,CA,1600000US0606000,0.224648952,0.448339461,0.000958443,0.634655459,0.737976536,0.798836738,0.880018377,0.856989113,0.659502723,0.69,6208800
Billings,MT,1600000US3006550,,0.428210336,,0.548388849,0.691968177,0.545349372,0.395532432,0.622329737,0.618185946,,
Birmingham,AL,1600000US0107000,,0.390477222,,0.553221544,0.772267099,0.521546958,0.521627022,0.583001743,0.460012108,,
Boise City,ID,1600000US1608830,,0.498791688,,0.430579307,0.43299593,0.608537142,0.766494748,0.691956962,0.367159716,,
Boston,MA,1600000US2507000,0.26438962,0.309004095,0.219775146,0.571554074,0.953545884,0.690168244,0.41229717,0.807304436,0.850903126,1.18,1481201400
Bridgeport,CT,1600000US0908000,0.408629325,0.569126616,0.248132033,0.716076859,0.577823627,0.39784825,0.403533895,0.506605527,0.283405329,1.25,48232400
Brownsville,TX,1600000US4810768,0.274402278,0.531604062,0.017200495,0.466353159,0.403145036,0.332297984,0.049999934,0.490213016,0.456681003,1.18,0
Buffalo,NY,1600000US3611000,,0.488219148,,0.722899522,0.746461226,0.404346839,0.232178708,0.532530987,0.448330821,,
